id	name	energy	proteins	fats	carbohydrates
125651	Шашлык куриный жареный во фритюре с макаронами отварными	360	18	21	24
125652	Шашлык куриный жареный во фритюре с картофелем запечённым	320	17	21	16
125653	Шашлык куриный жареный во фритюре с картофельным пюре	296	17	19	15
125654	Филе куриное гриль с картофелем запечённым	265	23	13	14
125655	Филе куриное гриль с макаронами отварными	305	24	13	22
125656	Филе куриное гриль с рисом отварным и овощами	291	23	13	21
125657	Филе куриное гриль с кашей гречневой	315	26	12	24
125658	Филе куриное гриль с картофельным пюре	241	23	11	13
125659	Тефтели с рисом и томатным соусом с картофелем запечённым	466	16	27	35
125660	Тефтели с рисом и томатным соусом с макаронами отварными	502	17	28	45
125661	Тефтели с рисом и томатным соусом с кашей гречневой 	502	19	26	48
125662	Тефтели с рисом с картофельным пюре и томатным соусом	438	15	25	37
125663	Сосиски отварные с макаронами отварными	340	12	21	26
125664	Сосиски отварные с картофельным пюре	276	11	18	17
125665	Рыба жареная в кляре с макаронами отварными	385	19	23	25
125666	Рыба жареная в кляре с картофельным пюре	331	18	21	16
125667	Рыба жареная в кляре с рисом отварным и овощами	395	18	21	23
125668	Рулет куриный с картофелем запечённым	309	15	20	18
125669	Рулет куриный с макаронами отварными	349	16	20	25
125670	Рулет куриный с картофельным пюре	285	15	18	16
125671	Поджарка из минтая с макаронами отварными	410	13	28	27
125672	Поджарка из минтая с рисом отварным и овощами	400	12	27	27
125673	Поджарка из минтая с картофельным пюре	350	12	25	19
125674	Плов	226	7	10	27
125675	Печень «По-строгановски» с кашей гречневой	326	24	12	18
125676	Печень «По-строгановски» с макаронами отварными	313	24	12	27
125677	Печень «По-строгановски» с картофельным пюре	249	21	11	16
125678	Отбивная куриная «Особенная» с картофелем запечённым	280	18	13	21
125679	Отбивная куриная «Особенная» с макаронами отварными	349	18	18	28
125680	Отбивная куриная «Особенная» с рисом отварным и овощами	329	17	17	27
125681	Отбивная куриная «Особенная» с кашей гречневой	343	20	16	30
125682	Отбивная куриная «Особенная» с картофельным пюре	279	16	15	19
125683	Отбивная куриная в кляре с картофелем запечённым	404	16	28	22
125684	Отбивная куриная в кляре с макаронами отварными	430	17	29	29
125685	Отбивная куриная в кляре с рисом отварным и овощами	430	16	28	28
125686	Отбивная куриная в кляре с кашей гречневой	444	19	27	31
125687	Отбивная куриная в кляре с картофельным пюре	380	16	26	20
125688	Котлета рыбная с отварными макаронами	410	17	25	32
125689	Котлета рыбная с рисом отварным и овощами	370	15	22	30
125690	Котлета рыбная с картофельным пюре	356	16	23	24
125691	Котлета «По-хлыновски» с картофелем запечённым	349	11	24	23
125692	Котлета «По-хлыновски» с макаронами отварными	389	12	24	31
125693	Котлета «По-хлыновски» с кашей гречневой	389	13	23	33
125694	Котлета «По-хлыновски» с картофельным пюре	325	10	22	22
125695	Котлета куриная «Гнездо» с макаронами отварными	370	13	23	27
125696	Котлета куриная «Гнездо» с картофельным пюре	305	12	20	19
125697	Котлета куриная с картофелем запечённым	424	15	30	23
125698	Котлета куриная с макаронами отварными	464	16	31	31
125699	Котлета куриная с рисом отварным и овощами	450	15	30	30
125700	Котлета куриная с кашей гречневой	464	18	29	33
125701	Котлета куриная с картофельным пюре	400	14	28	22
125702	Котлета «Киевская» с макаронами отварными	379	18	19	34
125703	Котлета "Киевская" с картофельным пюре	315	16	16	25
125704	Котлета из индейки на гриле с макаронами отварными	450	13	29	34
125705	Котлета из индейки на гриле с картофельным пюре	386	11	27	26
125706	Котлета домашняя с рисом отварным и овощами	409	13	25	34
125707	Котлета домашняя с картофелем запечённым	383	13	24	28
125708	Котлета домашняя с кашей гречневой	423	15	23	38
125709	Котлета домашняя с макаронами отварными	423	14	25	35
125710	Котлета домашняя с картофельным пюре	361	12	23	27
125711	Зраза рубленая с яйцом с кашей гречневой	426	15	26	32
125712	Зраза рубленая с яйцом с макаронами отварными	426	13	28	30
125713	Зраза рубленая с яйцом с рисом отварным и овощами	412	12	28	29
125714	Зраза рубленая с яйцом с картофельным пюре	362	12	26	21
125715	Зраза рубленая с яйцом и картофелем запечённым	386	12	27	23
125716	Гуляш из говядины с кашей гречневой	296	21	12	17
125717	Гуляш из говядины с макаронами отварными	293	19	13	24
125718	Гуляш из говядины с картофельным пюре	229	18	11	15
125719	Бифштекс с картофелем запечённым	457	14	35	20
125720	Бифштекс с макаронами отварными	497	15	36	27
125721	Бифштекс с картофельным пюре	436	14	34	19
125722	Бифштекс с кашей гречневой	497	17	34	30
125723	Биточек куриный с рисом отварным и овощами	345	16	14	28
125724	Биточек куриный с макаронами отварными	339	18	16	30
125725	Биточек куриный с кашей гречневой	339	19	15	32
125726	Биточек куриный с картофельным пюре	325	16	16	29
125727	Биточек куриный с картофелем запечённым	299	17	16	23
125728	Панини с курицей и колбасой	230	8	11	25
125729	Панини с ветчиной и помидором	270	8	15	26
125730	Бигус с картофельным пюре	120	4	8	10
125731	Бигус	76	4	5	7
125732	Салат «С фунчозой и курицей»	252	8	15	22
125733	Салат закусочный с курицей и ананасом	160	7	12	6
125734	Салат закусочный из курицы и овощей с сухариками	209	3	15	15
125735	Бутерброд № 15 с куриной котлетой	285	8	18	25
125736	Бутерброд № 14 с куриной отбивной	285	11	11	27
125737	Бутерброд № 9 с бифштексом	285	10	25	30
125738	Бутерброд № 8 с колбасой полукопчёной	285	8	17	30
125739	Бутерброд № 7 с курицей	285	9	11	27
125740	Бутерброд № 6 с говядиной	285	9	11	29
125741	Бутерброд № 5 с грудинкой	285	8	11	29
125742	Бутерброд № 4 с котлетой	285	8	18	26
125743	Бутерброд № 3 хот-дог	285	7	13	33
125744	Бутерброд № 2 с колбасой и сыром	285	9	16	29
125745	Бутерброд № 1 с ветчиной и сыром	285	9	15	28
125746	Салат с говядиной и морковью	160	6	14	3
125747	Салат «С печенью»	200	10	16	3
125748	Салат № 2 с курицей и картофелем	120	8	7	5
125749	Салат «Гнездо глухаря»	214	8	15	5
125750	Салат «Цезарь»	213	11	16	6
125751	Салат «Сельдь под шубой»	160	6	12	6
125752	Салат «Свежий»	120	1	10	9
125753	Салат «С ветчиной»	230	10	20	1
125754	Салат «Оливье»	140	5	11	6
125755	Салат «Мясной»	130	6	9	5
125756	Салат «Морковь острая»	120	2	10	8
125757	Салат «Крабовый»	130	3	7	13
125758	Салат «Капуста маринованная острая»	87	2	7	8
125759	Салат «Витаминный»	130	1	10	9
125760	Салат «Винегрет овощной»	100	2	7	8
125761	Салат «Бархатный»	213	2	16	15
125762	Салат № 1 с курицей и огурцом	140	13	9	1
125763	Сэндвич со свининой	365	14	22	29
125764	Сэндвич с курицей	306	13	15	29
125765	Сэндвич с горбушей	365	14	22	29
125766	Сэндвич с ветчиной	308	10	17	29
132157	Манты	205	9	9	22
132158	Свинина под овощами с картофельным пюре	285	12	13	25
132159	Свинина под овощами с кашей гречневой	326	15	14	26
132160	Свинина под овощами с макаронами отварными	330	13	15	33
132161	Свинина под овощами с картофелем запечённым	260	13	11	27
132162	Салат закусочный из говядины и овощей	209	3	15	15
133648	Голубцы	170	5	15	7
133649	Пельмени отварные	170	10	7	25
133650	Беляш	340	9	24	29
134847	Открытый пирог с куриным жульеном и грибами	235	9	10	21
134856	Открытый пирог с ветчиной и сыром	245	10	10	27
134865	Пирожок жареный с капустой	220	6	6	35
134866	Пирожок жареный с картофелем	220	6	12	41
134867	Пирожок жареный с луком яйцом	280	9	8	45
134868	Пирожок жареный с мясом рисом	280	9	8	45
134870	Пирожок жареный с печенью	255	10	14	47
134871	Котлета в тесте печёная	330	9	20	29
134872	Киш с курицей и грибами	230	12	13	17
134873	Курник	254	10	8	34
134874	Пицца «Ассорти»	300	8	15	33
134875	Самса мясная	325	8	18	32
135482	Пирожок печёный с капустой	287	6	8	33
135483	Пирожок печёный с картофелем	233	6	6	39
135484	Пирожок печёный с луком и яйцом	287	9	9	42
135485	Пирожок печёный с мясом и рисом	287	8	11	50
135486	Пирожок печёный с печенью	255	10	14	47
135487	Пирожок печёный с рыбой	264	12	9	33
135488	Пицца колбасная	370	8	24	30
135490	Пицца мясная	330	8	20	28
135491	Пицца сосисочная	330	7	20	30
135492	Роллы блинные с курицей	270	9	16	23
135493	Чебуреки с мясом (9 шт.)	424	10	30	29
135494	Чебуреки с капустой (9 шт.)	282	5	18	27
135495	Чебуреки с картофелем (9 шт.)	282	6	18	34
135496	Чебуреки с ветчиной и сыром (9 шт.)	282	9	24	25
135497	Чебурек	366	10	20	35
135498	Сочень с творогом и изюмом	400	8	25	37
135499	Суп «Щи со свежей капустой и картофелем»	54	5	3	3
135500	Сосиска в тесте печеная	370	7	20	43
135502	Суп «Борщ»	54	5	2	4
135503	Суп «Картофельный с мясными фрикадельками»	80	4	5	4
135504	Суп «Куриный с лапшой»	86	4	4	10
135505	Суп «Лагман»	75	4	4	3
135506	Суп «Солянка домашняя»	64	4	4	4
135507	Булочка с корицей	380	9	12	58
135508	Булочка с маком	340	8	18	37
135509	Булочка с маком и изюмом	320	7	14	42
135510	Булочка с повидлом и посыпкой	400	9	17	53
135511	Булочка с сахаром	400	9	17	53
135512	Вензель с изюмом	400	9	17	53
135514	Сэндвич с говядиной	365	14	21	29
135518	Каша геркулесовая	113	3	3	17
135520	Каша кукурузная	116	3	1	24
135521	Каша гречневая молочная	113	3	4	14
135522	Каша пшённая	115	3	3	18
135523	Каша рисовая	96	2	3	15
136650	Суп «Рассольник ленинградский»	55	4	2	6
136651	Вафля-пицца с колбасками и сыром с соусом	230	12	13	17
136652	Палочки куриные	250	15	10	27
136653	Каша ячневая	96	3	3	12
136656	Блинчик с сосисками и картофелем	170	7	10	12
136657	Блинчики с ветчиной и сыром	350	13	20	30
136658	Блинчики с мясом	220	8	11	22
136659	Блинчики «Цезарь»	155	12	6	15
136660	Блинчики  с творогом	280	13	9	35
136661	Блинчики с грушей и творожным сыром	210	7	11	21
136662	Шаурма с курицей 	190	8	11	16
136663	Шаурма с курицей и пекинской капустой	190	8	11	16
137289	Пирожок печёный с чёрной смородиной	265	6	5	49
137291	Пирожок печёный с вишней	230	5	4	43
137293	Пирожок печёный с клубникой	245	5	4	46
