Наименование блюда	Масса порции, г	На порцию				На 100 г блюда			
		Белки, г	Жиры, г	Углеводы, г	Ккал	Белки, г	Жиры, г	Углеводы, г	Ккал
Бигус	250	11,0	17,5	11,8	250	4,4	7,0	4,7	100
Бигус с картофельным пюре	250	6,7	13,3	23,3	241	2,7	5,3	9,3	96
Биточек куриный с картофельным пюре	225	13,1	13,5	25,4	277	5,8	6,0	11,3	123
Биточек куриный с кашей гречневой	225	18,1	14,7	41,9	373	8,0	6,5	18,6	166
Биточек куриный с рисом отварным и овощами	225	13,7	16,5	36,8	352	6,1	7,3	16,3	156
Биточек куриный с макаронами отварными	225	15,7	17,3	38,3	373	7,0	7,7	17,0	166
Биточек куриный с картофелем запеченным	225	14,2	16,2	27,3	313	6,3	7,2	12,1	139
Бифштекс с картофельным пюре	225	11,4	28,4	23,3	395	5,1	12,6	10,4	176
Бифштекс с кашей гречневой	225	16,4	29,6	39,8	491	7,3	13,1	17,7	218
Бифштекс с макаронами отварными	225	14,0	32,1	36,2	491	6,2	14,3	16,1	218
Бифштекс с картофелем запеченным	225	12,5	31,1	25,3	431	5,5	13,8	11,2	192
Голубцы с мясом и рисом	220	9,9	33,0	14,3	394	4,5	15,0	6,5	179
Гуляш из говядины с картофельным пюре	250	18,3	12,8	21,6	276	7,3	5,1	8,6	110
Гуляш из говядины с кашей гречневой	250	23,2	14,0	38,1	372	9,3	5,6	15,2	149
Гуляш из говядины с макаронами отварными	250	20,8	16,6	34,5	372	8,3	6,6	13,8	149
Драники картофельные	180	4,9	11,7	31,3	250	2,7	6,5	17,4	139
Зраза рубленая с яйцом с картофельным пюре	270	14,3	32,0	29,2	463	5,3	11,8	10,8	171
Зраза рубленая с яйцом с кашей гречневой	270	19,2	33,2	45,7	559	7,1	12,3	16,9	207
Зраза рубленая с яйцом с рисом отварным и овощами	270	14,9	35,0	40,6	538	5,5	13,0	15,0	199
Зраза рубленая с яйцом с макаронами отварными	270	16,8	35,7	42,1	559	6,2	13,2	15,6	207
Зраза рубленая с яйцом с картофелем запеченным	270	15,3	34,7	31,1	499	5,7	12,8	11,5	185
Котлета "Домашняя" с картофельным пюре	250	12,9	24,6	33,0	406	5,1	9,8	13,2	162
Котлета "Домашняя" с кашей гречневой	250	17,8	25,8	49,5	502	7,1	10,3	19,8	201
Котлета "Домашняя" с рисом отварным и овощами	250	13,5	27,6	44,4	481	5,4	11,0	17,8	192
Котлета "Домашняя" с макаронами отварными	250	15,4	28,4	45,9	502	6,2	11,3	18,4	201
Котлета "Домашняя" с картофелем запеченным	250	13,9	27,3	35,0	442	5,6	10,9	14,0	177
Котлета рыбная из щуки с картофельным пюре	225	8,1	19,1	23,6	299	3,6	8,5	10,5	133
Котлета рыбная из щуки с рисом отварным и овощами	225	8,7	22,1	35,0	374	3,9	9,8	15,5	166
Котлета рыбная из щуки с макаронами отварными	225	10,7	22,8	36,5	395	4,7	10,1	16,2	176
Котлета куриная с картофельным пюре	240	13,7	27,9	27,2	416	5,7	11,6	11,4	174
Котлета куриная с кашей гречневой	240	18,6	29,1	43,7	512	7,8	12,1	18,2	214
Котлета куриная с рисом отварным и овощами	240	14,3	30,9	38,6	491	6,0	12,9	16,1	205
Котлета куриная с макаронами отварными	240	16,2	31,7	40,1	512	6,8	13,2	16,7	214
Котлета куриная с картофелем запеченным	240	14,7	30,6	29,2	452	6,1	12,8	12,2	189
Котлета «Киевская» с картофельным пюре	250	17,1	18,5	31,6	362	6,8	7,4	12,6	145
Котлета «Киевская» с макаронами отварными	250	19,6	22,3	44,5	458	7,8	8,9	17,8	183
Котлета «По-хлыновски» с картофельным пюре	250	10,9	23,8	28,2	372	4,3	9,5	11,3	149
Котлета «По-хлыновски» с кашей гречневой	250	15,8	25,0	44,7	468	6,3	10,0	17,9	187
Котлета «По-хлыновски» с макаронами отварными	250	13,4	27,6	41,1	468	5,4	11,0	16,4	187
Котлета «По-хлыновски» с картофелем запеченным	250	11,9	26,5	30,2	408	4,8	10,6	12,1	163
Котлета из индейки на гриле с картофельным пюре	240	10,8	26,4	30,6	404	4,5	11,0	12,7	168
Котлета из индейки на гриле с макаронами отварными	240	13,4	30,1	43,5	500	5,6	12,6	18,1	208
Курица запеченная с картофельным пюре	250	17,7	18,3	19,6	315	7,1	7,3	7,8	126
Курица запеченная с кашей гречневой	250	22,6	19,5	36,1	411	9,0	7,8	14,4	164
Курица запеченная с рисом отварным и овощами	250	18,3	21,3	31,0	390	7,3	8,5	12,4	156
Курица запеченная с макаронами отварными	250	20,2	22,1	32,5	411	8,1	8,8	13,0	164
Курица запеченная с картофелем запеченным	250	18,7	21,0	21,6	351	7,5	8,4	8,6	140
Люля-котлета с колбасой с картофельным пюре	230	10,4	27,1	29,8	406	4,5	11,8	13,0	176
Люля-котлета с колбасой с макаронами отварными	230	13,0	30,9	42,7	502	5,6	13,4	18,6	218
Люля-котлета с колбасой с картофелем запеченным	230	11,5	29,8	31,8	442	5,0	13,0	13,8	192
Манты	200	17,4	18,8	43,4	414	8,7	9,4	21,7	207
Окорочок куриный фаршированный с картофельным пюре	250	15,6	15,7	25,6	307	6,2	6,3	10,2	123
Окорочок куриный фаршированный с кашей гречневой	250	20,5	16,9	42,1	403	8,2	6,8	16,8	161
Окорочок куриный фаршированный с рисом отварным и овощами	250	16,2	18,7	37,0	382	6,5	7,5	14,8	153
Окорочок куриный фаршированный с макаронами отварными	250	18,1	19,5	38,5	403	7,2	7,8	15,4	161
Окорочок куриный фаршированный с картофелем запеченным	250	16,6	18,4	27,6	343	6,6	7,4	11,0	137
Отбивная куриная в кляре с картофельным пюре	230	13,5	23,9	25,0	370	5,8	10,4	10,9	161
Отбивная куриная в кляре с кашей гречневой	230	18,4	25,1	41,5	466	8,0	10,9	18,0	203
Отбивная куриная в кляре с рисом отварным и овощами	230	14,1	26,9	36,4	445	6,1	11,7	15,8	193
Отбивная куриная в кляре с макаронами отварными	230	16,0	27,7	37,9	466	7,0	12,0	16,5	203
Отбивная куриная в кляре с картофелем запеченным	230	14,5	26,6	27,0	406	6,3	11,6	11,7	176
Отбивная куриная «Особенная» с картофельным пюре	250	17,1	17,3	25,2	326	6,8	6,9	10,1	130
Отбивная куриная «Особенная» с кашей гречневой	250	22,0	18,5	41,7	422	8,8	7,4	16,7	169
Отбивная куриная «Особенная» с рисом отварным и овощами	250	17,7	20,3	36,6	401	7,1	8,1	14,6	160
Отбивная куриная «Особенная» с макаронами отварными	250	19,6	21,1	38,1	422	7,8	8,4	15,2	169
Отбивная куриная «Особенная» с картофелем запеченным	250	18,1	20,0	27,2	362	7,2	8,0	10,9	145
Пельмени отварные	200	20,0	14,0	50,0	406	10,0	7,0	25,0	203
Печень «По-строгановски» с картофельным пюре	250	21,3	13,3	22,6	296	8,5	5,3	9,0	118
