# СВЕРКА КБЖУ — Фабрика Вкусно
"# Источник ""этикетка"": данные с этикеток вторых блюд (точные, на порцию) — 83 блюда, проверять не нужно."
"# Источник ""расчёт (bzhu)"": прочие блюда (салаты, супы, выпечка, бутерброды и т.п.) — ккал пересчитана по Б/Ж/У."
# Значения даны и на 100 г, и на порцию. Отсортировано по ккал/100г (сверху самые калорийные).
"# Пометка ""ПРОВЕРИТЬ"": ккал/100г >= 350 у блюд НЕ с этикетки — кандидаты на сверку с рецептурой."

Название;Источник;Вес порции г;Ккал/100г;Б/100г;Ж/100г;У/100г;Ккал порция;Б порция;Ж порция;У порция;Пометка
Чебуреки с мясом (9 шт.);расчёт (bzhu);180;426;10.0;30.0;29.0;767;18;54;52.2;ПРОВЕРИТЬ
Котлета рыбная с отварными макаронами;расчёт (bzhu);225;421;17.0;25.0;32.0;947;38.2;56.2;72;ПРОВЕРИТЬ
Сочень с творогом и изюмом;расчёт (bzhu);100;405;8.0;25.0;37.0;405;8;25;37;ПРОВЕРИТЬ
Вензель с изюмом;расчёт (bzhu);120;401;9.0;17.0;53.0;481;10.8;20.4;63.6;ПРОВЕРИТЬ
Булочка с сахаром;расчёт (bzhu);80;401;9.0;17.0;53.0;321;7.2;13.6;42.4;ПРОВЕРИТЬ
Булочка с повидлом и посыпкой;расчёт (bzhu);120;401;9.0;17.0;53.0;481;10.8;20.4;63.6;ПРОВЕРИТЬ
Бутерброд № 9 с бифштексом;расчёт (bzhu);190;385;10.0;25.0;30.0;732;19;47.5;57;ПРОВЕРИТЬ
Сосиска в тесте печеная;расчёт (bzhu);60;380;7.0;20.0;43.0;228;4.2;12;25.8;ПРОВЕРИТЬ
Котлета рыбная с рисом отварным и овощами;расчёт (bzhu);225;378;15.0;22.0;30.0;851;33.8;49.5;67.5;ПРОВЕРИТЬ
Булочка с корицей;расчёт (bzhu);60;377;9.0;12.0;58.0;226;5.4;7.2;34.8;ПРОВЕРИТЬ
Сэндвич со свининой;расчёт (bzhu);150;370;14.0;22.0;29.0;555;21;33;43.5;ПРОВЕРИТЬ
Сэндвич с горбушей;расчёт (bzhu);130;370;14.0;22.0;29.0;481;18.2;28.6;37.7;ПРОВЕРИТЬ
Пицца колбасная;расчёт (bzhu);140;368;8.0;24.0;30.0;515;11.2;33.6;42;ПРОВЕРИТЬ
Беляш;расчёт (bzhu);100;368;9.0;24.0;29.0;368;9;24;29;ПРОВЕРИТЬ
Котлета рыбная с картофельным пюре;расчёт (bzhu);225;367;16.0;23.0;24.0;826;36;51.8;54;ПРОВЕРИТЬ
Сэндвич с говядиной;расчёт (bzhu);150;361;14.0;21.0;29.0;542;21;31.5;43.5;ПРОВЕРИТЬ
Чебурек;расчёт (bzhu);110;360;10.0;20.0;35.0;396;11;22;38.5;ПРОВЕРИТЬ
Пирожок печёный с печенью;расчёт (bzhu);100;354;10.0;14.0;47.0;354;10;14;47;ПРОВЕРИТЬ
Пирожок жареный с печенью;расчёт (bzhu);100;354;10.0;14.0;47.0;354;10;14;47;ПРОВЕРИТЬ
Чебуреки с ветчиной и сыром (9 шт.);расчёт (bzhu);200;352;9.0;24.0;25.0;704;18;48;50;ПРОВЕРИТЬ
Блинчики с ветчиной и сыром;расчёт (bzhu);200;352;13.0;20.0;30.0;704;26;40;60;ПРОВЕРИТЬ
Булочка с маком;расчёт (bzhu);80;342;8.0;18.0;37.0;274;6.4;14.4;29.6;
Котлета в тесте печёная;расчёт (bzhu);100;332;9.0;20.0;29.0;332;9;20;29;
Пирожок печёный с мясом и рисом;расчёт (bzhu);100;331;8.0;11.0;50.0;331;8;11;50;
Пицца сосисочная;расчёт (bzhu);140;328;7.0;20.0;30.0;459;9.8;28;42;
Пицца мясная;расчёт (bzhu);140;324;8.0;20.0;28.0;454;11.2;28;39.2;
Чебуреки с картофелем (9 шт.);расчёт (bzhu);200;322;6.0;18.0;34.0;644;12;36;68;
Самса мясная;расчёт (bzhu);140;322;8.0;18.0;32.0;451;11.2;25.2;44.8;
Булочка с маком и изюмом;расчёт (bzhu);150;322;7.0;14.0;42.0;483;10.5;21;63;
Сэндвич с ветчиной;расчёт (bzhu);150;309;10.0;17.0;29.0;464;15;25.5;43.5;
Бутерброд № 8 с колбасой полукопчёной;расчёт (bzhu);160;305;8.0;17.0;30.0;488;12.8;27.2;48;
Сэндвич с курицей;расчёт (bzhu);150;303;13.0;15.0;29.0;454;19.5;22.5;43.5;
