Категория	Название	Цена	Артикул	Описание	Ссылка на изображение	Вес, гр.	Кол-во штук в ролле/сете	Кол-во персон	Метки	У товара есть вариации
Вторые блюда	Шашлык куриный жареный во фритюре с макаронами отварными	150		<p><strong>Состав основного продукта:</strong> мясо куриное, мука пшеничная высшего сорта, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> макаронные изделия, масло подсолнечное, масло сливочное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H4F53QZVNYEDBJSKA82KW.jpg	200	1	1		
Вторые блюда	Шашлык куриный жареный во фритюре с картофелем запечённым	167		<p><strong>Состав основного продукта: </strong>мясо куриное, мука пшеничная высшего сорта, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> картофель, майонез, морковь, сыр, масло подсолнечное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H4D9Q4NASZK0Y7JAD5T3J.jpg	200	1	1		
Вторые блюда	Шашлык куриный жареный во фритюре с картофельным пюре	157		<p><strong>Состав основного продукта:</strong> мясо куриное, мука пшеничная высшего сорта, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> картофель, масло сливочное, молоко сухое, соль</p><p><strong>Срок годности: </strong>при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H4BEAH9GV0A9B537D23Q9.jpg	200	1	1		
Вторые блюда	Филе куриное гриль с картофелем запечённым	173		<p><strong>Состав основного продукта:</strong> куриное филе, масло подсолнечное, соус соевый, перец черный</p><p><strong>Состав гарнира:</strong> картофель, майонез, морковь, сыр, масло подсолнечное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H49Y1HCQPYA8ZPRQVYVYY.jpg	200	1	1		
Вторые блюда	Филе куриное гриль с макаронами отварными	156		<p><strong>Состав основного продукта:</strong> куриное филе, масло подсолнечное, соус соевый, перец черный</p><p><strong>Состав гарнира:</strong> макаронные изделия, масло подсолнечное, масло сливочное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H489K3CBR26DK2X8KCC6V.jpg	200	1	1		
Вторые блюда	Филе куриное гриль с рисом отварным и овощами	156		<p><strong>Состав основного продукта:</strong> куриное филе, масло подсолнечное, соус соевый, перец черный</p><p><strong>Состав гарнира:</strong> рис, морковь, масло сливочное, масло подсолнечное, перец болгарский, кукуруза консервированная, горошек зеленый консервированный, фасоль стручковая, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H45HK34YWYJTBQZ2TPGNZ.jpg	200	1	1		
Вторые блюда	Филе куриное гриль с кашей гречневой	156		<p><strong>Состав основного продукта:</strong> куриное филе, масло подсолнечное, соус соевый, перец черный</p><p><strong>Состав гарнира:</strong> крупа гречневая, масло сливочное, масло подсолнечное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H449HQAM2NVQDYD8005CZ.jpg	200	1	1		
Вторые блюда	Филе куриное гриль с картофельным пюре	164		<p><strong>Состав основного продукта:</strong>  куриное филе, масло подсолнечное, соус соевый, перец черный</p><p><strong>Состав гарнира: </strong>картофель, масло сливочное, молоко сухое, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H43F6SPA4E2E7KEKT5HEG.jpg	200	1	1		
Вторые блюда	Тефтели с рисом и томатным соусом с картофелем запечённым	162		<p><strong>Состав основного продукта:</strong> свинина, говядина, лук репчатый, рис, яйцо, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> картофель, майонез, морковь, сыр, масло подсолнечное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H422GGNVPYWTEERXSE53N.jpg	300	1	1		
Вторые блюда	Тефтели с рисом и томатным соусом с макаронами отварными	145		<p><strong>Состав основного продукта:</strong> свинина, говядина, лук репчатый, рис, яйцо, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира: </strong>макаронные изделия, масло подсолнечное, масло сливочное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H416VSCEWVNTJBXCH41RR.jpg	300	1	1		
Вторые блюда	Тефтели с рисом и томатным соусом с кашей гречневой 	145		<p><strong>Состав основного продукта: </strong>свинина, говядина, лук репчатый, рис, яйцо, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> крупа гречневая, масло сливочное, масло подсолнечное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H3ZW73DZ87WT2QV9Q8HA8.jpg	300	1	1		
Вторые блюда	Тефтели с рисом с картофельным пюре и томатным соусом	165		<p><strong>Состав основного продукта:</strong> свинина, говядина, лук репчатый, рис, яйцо, масло подсолнечное, соль, перец черный</p><p><strong>Состав гарнира:</strong> картофель, масло сливочное, молоко сухое, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H3Z138JA74DZJ6XNMJ21S.jpg	300	1	1		
Вторые блюда	Сосиски отварные с макаронами отварными	150		<p><strong>Состав основного продукта:</strong> изделие колбасное &quot;Сосиски Аппетитные&quot;, масло сливочное, яйцо, крахмал, парика, соль, перец черный</p><p><strong>Состав гарнира:</strong> макаронные изделия, масло подсолнечное, масло сливочное, соль</p><p><strong>Срок годности:</strong> при +2+6°С ≤ 72 ч</p><p><br></p>	https://platform.foodninja.pro/storage/43c6a0d1-4dbd-403f-b80d-73530b32741b/product/01KR4H3XSK6ZH0M1Y2SRASPGXA.jpg	250	1	1		
